dataset,bundle_source_variant,official_source_variant,official_repository,official_commit,official_file_sha256,shape_match,timestamp_set_and_order_match,channel_set_and_order_match,exact_match,allclose,max_absolute_difference,mean_absolute_difference,affine_max_absolute_residual,affine_mean_absolute_residual,normalization_fit_rows,normalization_fit_scope,affine_matches_legacy_prefix_standardization,comparison_value_payload_stored
ETTh1,ETTh1__bundle_long,ETTh1__official_raw,https://github.com/zhouhaoyi/ETDataset,1d16c8f4f943005d613b5bc962e9eeb06058cf07,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,True,True,True,False,False,42.85996498707415,5.103121806203913,1.9984014443252818e-15,1.779516105304235e-16,8640,official_raw_prefix_12_months,True,False
ETTh2,ETTh2__bundle_long,ETTh2__official_raw,https://github.com/zhouhaoyi/ETDataset,1d16c8f4f943005d613b5bc962e9eeb06058cf07,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,True,True,True,False,False,101.54242141271394,19.11387938287352,2.6645352591003757e-15,2.748411305078642e-16,8640,official_raw_prefix_12_months,True,False
ETTm1,ETTm1__bundle_long,ETTm1__official_raw,https://github.com/zhouhaoyi/ETDataset,1d16c8f4f943005d613b5bc962e9eeb06058cf07,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,True,True,True,False,False,42.85841840818247,5.118537405788491,1.7763568394002505e-15,1.4630640227227386e-16,34560,official_raw_prefix_12_months,True,False
ETTm2,ETTm2__bundle_long,ETTm2__official_raw,https://github.com/zhouhaoyi/ETDataset,1d16c8f4f943005d613b5bc962e9eeb06058cf07,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,True,True,True,False,False,101.55674526386893,19.128380750418344,2.6645352591003757e-15,2.2169067991147803e-16,34560,official_raw_prefix_12_months,True,False
